Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases_per_ 1M pop,Deaths_per_ 1M pop,Total Tests,Tests_per_1M_pop,Population
Afghanistan,179716,7698,162741,9277,4429,190,958454,23619,40579846
Albania,275864,3497,272125,242,96057,1218,1822887,634737,2871877
Algeria,265854,6875,178386,80593,5863,152,230861,5091,45342848
Andorra,42572,153,41757,662,549330,1974,249838,3223799,77498
Angola,99194,1900,97149,145,2851,55,1499795,43108,34791729
Antigua and Barbuda,7942,138,7623,181,79854,1388,18901,190042,99457
Argentina,9135308,128776,8895999,110533,198692,2801,35716069,776821,45977230
Armenia,422917,8623,412071,2223,142220,2900,3078174,1035140,2973678
Aruba,36316,213,35808,295,337447,1979,177885,1652899,107620
Australia,6983004,8109,6563517,411378,267986,311,71279851,2735497,26057364
Austria,4233430,18347,4169371,45712,465047,2015,186381345,20474206,9103227
Azerbaijan,792707,9710,782945,52,76877,942,6867409,666003,10311378
Bahamas,34274,810,32593,871,85616,2023,235192,587504,400324
Bahrain,581371,1482,575470,4419,320675,817,9815874,5414284,1812959
Bangladesh,1953233,29128,1900964,23141,11642,174,14085376,83951,167780998
Barbados,78919,440,74197,4282,273988,1528,679628,2359508,288038
Belarus,982867,6978,,,104079,739,13220483,1399961,9443467
Belgium,4134293,31675,3990880,111738,353822,2711,33947485,2905303,11684661
Belize,58419,677,56886,856,142060,1646,555252,1350232,411227
Benin,26952,163,25506,1283,2119,13,604310,47504,12721305
Bermuda,14442,137,13945,360,233519,2215,903163,14603654,61845
Bhutan,59574,21,59509,44,75638,27,2303734,2924942,787617
Bolivia,907224,21944,865679,19601,75772,1833,2705422,225960,11973035
Bosnia and Herzegovina,377709,15783,,,116491,4868,1771319,546302,3242379
Botswana,306614,2692,303619,303,125606,1103,2026898,830329,2441077
Brazil,30791220,665680,29832019,293521,142945,3090,63776166,296074,215406479
British Virgin Islands,6690,62,,,218556,2025,103895,3394152,30610
Brunei,146506,221,144672,1613,328952,496,717784,1611650,445372
Bulgaria,1163413,37093,1042639,83681,169843,5415,9964693,1454716,6849923
Burkina Faso,20853,382,20439,32,949,17,248995,11327,21982871
Burundi,41606,38,,,3313,3,345742,27532,12557773
CAR,14649,113,6859,7677,2937,23,81294,16298,4987974
Cabo Verde,56172,401,55669,102,99005,707,400982,706744,567365
Cambodia,136262,3056,133201,5,7943,178,2964585,172812,17154926
Cameroon,119780,1927,117791,62,4310,69,1751774,63035,27790541
Canada,3846998,40679,3516903,289416,100272,1060,61679093,1607663,38365690
Caribbean Netherlands,9986,35,9886,65,374260,1312,30126,1129076,26682
Cayman Islands,24477,28,8553,15896,364371,417,222773,3316259,67176
Chad,7415,193,4874,2348,428,11,191341,11051,17313604
Channel Islands,75767,176,74979,612,428345,995,1252808,7082693,176883
Chile,3643136,57802,3483990,101344,187545,2976,38080050,1960323,19425395
China,223332,5223,213834,4275,155,4,160000000,111163,1439323776
Colombia,6099111,139833,5930545,28733,117506,2694,34792844,670320,51904798
Comoros,8100,160,7933,7,8955,177,,,904497
Congo,24079,385,20178,3516,4170,67,347815,60239,5773927
Costa Rica,877533,8472,848035,21026,169350,1635,4487906,866095,5181769
Croatia,1134232,15966,1115160,3106,279534,3935,4859097,1197536,4057580
Cuba,1104979,8529,1096117,333,97668,754,12920253,1142012,11313591
Curaçao,43522,276,42622,624,263200,1669,496693,3003762,165357
Cyprus,477711,1032,124370,352309,390312,843,9477138,7743266,1223920
Czechia,3918127,40266,3876254,1607,364599,3747,55366573,5152098,10746414
DPRK,2814380,68,2334910,479402,108280,3,,,25991686
DRC,87633,1338,50930,35365,925,14,846704,8942,94689521
Denmark,2979238,6312,2965874,7052,510963,1083,127377418,21846234,5830635
Djibouti,15631,189,15427,15,15399,186,305941,301399,1015070
Dominica,13116,63,12465,588,181353,871,196777,2720808,72323
Dominican Republic,581153,4377,576147,629,52579,396,3318995,300283,11052886
Ecuador,874599,35617,,,48193,1963,2470170,136114,18147822
Egypt,515645,24613,442182,48850,4866,232,3693367,34853,105970638
El Salvador,162089,4130,150662,7297,24754,631,1950448,297875,6547872
Equatorial Guinea,15910,183,15704,23,10679,123,320949,215432,1489791
Eritrea,9754,103,9640,11,2680,28,23693,6511,3638902
Estonia,575046,2561,516588,55897,432946,1928,3357306,2527681,1328216
Eswatini,72150,1404,70299,447,60999,1187,1024478,866148,1182798
Ethiopia,471373,7512,455810,8051,3917,62,4867783,40454,120327543
Faeroe Islands,34658,28,,,704245,569,778000,15808831,49213
Fiji,64841,862,62931,1048,71357,949,520908,573255,908685
Finland,1081225,4406,,,194572,793,10873312,1956710,5556937
France,29354950,147780,28542968,664202,447855,2255,271490188,4142002,65545650
French Guiana,82313,397,11254,70662,262759,1267,635980,2030173,313264
French Polynesia,72858,649,,,256571,2285,,,283968
Gabon,47622,304,47303,15,20486,131,1595381,686285,2324662
Gambia,11999,365,11591,43,4716,143,155686,61184,2544543
Georgia,1655221,16811,1637293,1117,416435,4229,16920079,4256901,3974741
Germany,26085617,138712,24708600,1238305,309479,1646,122332384,1451349,84288720
Ghana,161351,1445,159865,41,4996,45,2447185,75776,32294823
Gibraltar,18273,102,16579,1592,542676,3029,534283,15867278,33672
Greece,3419998,29690,3341372,48936,331166,2875,81853729,7926073,10327148
Greenland,11971,21,2761,9189,210180,369,164926,2895674,56956
Grenada,17234,223,15969,1042,151835,1965,161503,1422871,113505
Guadeloupe,140130,854,2250,137026,350104,2134,938039,2343615,400253
Guatemala,856496,17954,835876,2666,46197,968,4585934,247355,18539924
Guinea,36597,442,36113,42,2651,32,660107,47821,13803745
Guinea-Bissau,8246,171,8029,46,4011,83,137803,67037,2055618
Guyana,64276,1231,62456,589,80982,1551,620143,781329,793703
Haiti,30746,835,29651,260,2636,72,132422,11353,11664439
Honduras,424771,10896,132401,281474,41638,1068,1369816,134277,10201405
Hong Kong,1210396,9370,,,159020,1231,44972952,5908485,7611588
Hungary,1914697,46446,1830803,37448,199154,4831,11394556,1185187,9614139
Iceland,186969,153,,,541286,443,1925385,5574105,345416
India,43138393,524459,42599102,14832,30691,373,847092226,602668,1405569356
Indonesia,6052590,156522,5892411,3657,21696,561,98090610,351613,278973499
Iran,7230053,141274,7033986,54793,84052,1642,51877878,603101,86018593
Iraq,2327269,25216,2300919,1134,55513,601,18556850,442644,41922756
Ireland,1551835,7244,1523924,20667,307799,1437,12179888,2415823,5041714
Isle of Man,28416,105,26794,1517,330876,1223,150753,1755371,85881
Israel,4121326,10827,4096572,13927,441918,1161,41373364,4436346,9326000
Italy,17247552,165952,16231004,850596,286056,2752,219432092,3639349,60294330
Ivory Coast,82044,799,81213,32,2972,29,1513880,54834,27608668
Jamaica,134660,3032,86045,45583,45104,1016,1055693,353604,2985520
Japan,8618683,30307,8243263,345113,68540,241,51460902,409241,125747062
Jordan,1694216,14048,1678941,1227,163000,1352,16670254,1603836,10393992
Kazakhstan,1305697,13661,1291885,151,68005,712,11575012,602869,19199895
Kenya,324242,5651,318276,315,5790,101,3649319,65163,56002502
Kuwait,632781,2555,629695,531,144156,582,8098920,1845038,4389568
Kyrgyzstan,200993,2991,196406,1596,29879,445,1907195,283514,6726993
Laos,209744,754,,,28061,101,1232128,164845,7474478
Latvia,826856,5813,818257,2786,447693,3147,7235935,3917828,1846925
Lebanon,1098503,10417,1085682,2404,162312,1539,4795578,708580,6767867
Lesotho,32910,697,24155,8058,15136,321,431221,198331,2174248
Liberia,7455,294,5747,1414,1412,56,139824,26474,5281604
Libya,501904,6430,490973,4501,71219,912,2477219,351511,7047343
Liechtenstein,17392,84,17248,60,453696,2191,102174,2665362,38334
Lithuania,1061533,9134,1035136,17263,400463,3446,9965040,3759309,2650764
Luxembourg,244182,1073,235939,7170,378480,1663,4248188,6584654,645165
Madagascar,64314,1393,59370,3551,2215,48,435827,15012,29031902
Malawi,85929,2638,82799,492,4283,131,581024,28963,20061052
Malaysia,4491320,35643,4429166,26511,135496,1075,59578095,1797371,33147348
Maldives,179560,298,163687,15575,321516,534,2213831,3964029,558480
Mali,31056,734,30161,161,1455,34,679917,31847,21349414
Malta,94046,717,91098,2231,211930,1616,1913807,4312717,443759
Martinique,153253,926,104,152223,408983,2471,828928,2212144,374717
Mauritania,59025,982,57776,267,12096,201,824558,168972,4879861
Mauritius,37955,996,36289,670,29751,781,358675,281150,1275744
Mayotte,37523,187,2964,34372,131561,656,176919,620303,285214
Mexico,5752441,324617,5050420,377404,43750,2469,15897804,120909,131485198
Moldova,517753,11503,504142,2108,128913,2864,3216305,800813,4016300
Monaco,12109,57,11983,69,304506,1433,54960,1382085,39766
Mongolia,469885,2179,313256,154450,139112,645,4030048,1193114,3377756
Montenegro,236721,2719,233362,640,376815,4328,2470106,3931937,628216
Morocco,1166628,16075,1149601,952,30916,426,11237010,297788,37734897
Mozambique,225577,2201,223279,97,6855,67,1323179,40212,32904740
Myanmar,613222,19434,592186,1602,11130,353,8138688,147715,55097093
Namibia,164850,4032,157815,3003,62738,1534,1029765,391904,2627597
Nepal,979068,11952,966975,141,32501,397,5685502,188736,30124118
Netherlands,8075194,22306,8013297,39591,469316,1296,21107399,1226725,17206307
New Caledonia,61514,312,60620,582,211628,1073,98964,340469,290670
New Zealand,1105317,1017,1049783,54517,220971,203,7153172,1430034,5002100
Nicaragua,18491,225,4225,14041,2730,33,,,6773060
Niger,9031,310,8628,93,349,12,254538,9844,25856742
Nigeria,255937,3143,249996,2798,1186,15,5152011,23878,215763437
North Macedonia,311199,9297,301361,541,149384,4463,2040024,979268,2083213
Norway,1431291,3094,,,260182,562,11002430,2000036,5501117
Oman,389473,4260,384669,544,72782,796,25000000,4671799,5351258
Pakistan,1529834,30379,1494141,5314,6681,133,28473285,124352,228972697
Palestine,582246,5355,576764,127,109346,1006,3078533,578150,5324801
Panama,830287,8227,794046,28014,186886,1852,6132544,1380352,4442739
Papua New Guinea,44394,651,43726,17,4791,70,249149,26888,9266315
Paraguay,650283,18885,624673,6725,89109,2588,2633737,360904,7297620
Peru,3576042,213106,,,105684,6298,30448621,899855,33837252
Philippines,3688941,60455,3626234,2252,32840,538,30014296,267200,112329152
Poland,6005531,116268,5335250,554013,159009,3078,36282083,960644,37768517
Portugal,4066674,22583,,,401025,2227,42276350,4168978,10140699
Qatar,367099,677,365415,1007,130742,241,3511513,1250626,2807805
Romania,2906051,65652,,,152983,3456,23065296,1214221,18995962
Russia,18293450,378350,17688903,226197,125253,2591,273400000,1871931,146052359
Rwanda,129978,1459,45522,82997,9588,108,5386505,397323,13556995
Réunion,411363,770,403795,6798,453367,849,1603660,1767409,907351
S. Korea,17967672,23987,17414103,529582,349890,467,15804065,307758,51352317
Saint Lucia,24957,370,23758,829,134751,1998,143281,773622,185208
Saint Martin,10602,63,1399,9140,265661,1579,112382,2816027,39908
Samoa,12382,25,1605,10752,61633,124,98999,492782,200898
San Marino,16991,115,16680,196,498782,3376,152231,4468839,34065
Sao Tome and Principe,5973,73,5897,3,26333,322,29036,128010,226826
Saudi Arabia,763042,9130,747492,6420,21293,255,42329395,1181218,35835381
Senegal,86073,1966,84086,21,4897,112,1087948,61903,17575026
Serbia,2015086,16065,1992080,6941,232392,1853,9648645,1112740,8671072
Seychelles,43729,167,43040,522,439514,1678,,,99494
Sierra Leone,7682,125,,,927,15,259958,31386,8282581
Singapore,1269635,1375,1188831,79429,213850,232,23877882,4021850,5937039
Sint Maarten,10189,86,10068,35,232663,1964,62056,1417030,43793
Slovakia,1788452,20080,1765053,3319,327278,3675,7137620,1306150,5464624
Slovenia,1022356,6628,1008163,7565,491641,3187,2661620,1279947,2079476
Solomon Islands,18174,146,16357,1671,25290,203,5117,7121,718613
Somalia,26521,1350,13182,11989,1585,81,400466,23939,16728373
South Africa,3929872,100933,3739543,89396,64724,1662,25069012,412879,60717635
South Sudan,17573,138,13514,3921,1536,12,395064,34531,11441004
Spain,12238073,105947,11620275,511851,261559,2264,471036328,10067267,46788898
Sri Lanka,663758,16512,646937,309,30755,765,6486117,300528,21582420
St. Vincent Grenadines,6848,106,6641,101,61360,950,99409,890730,111604
Sudan,62211,4937,,,1359,108,562941,12297,45777816
Suriname,80240,1339,49466,29435,134510,2245,236652,396710,596536
Sweden,2506607,18908,2480483,7216,245315,1850,18573144,1817702,10217923
Switzerland,3642604,13934,3579618,49052,415165,1588,20991820,2392535,8773881
Syria,55879,3150,52601,128,3053,172,146269,7992,18301462
Taiwan,1386640,1436,172535,1212669,58023,60,17249430,721794,23897995
Tajikistan,17388,124,17264,0,1749,12,,,9941187
Tanzania,35354,840,,,562,13,,,62938794
Thailand,4415593,29778,4334812,51003,62963,425,17270775,246268,70129984
Timor-Leste,22890,131,22748,11,16760,96,265125,194124,1365753
Togo,37046,273,36747,26,4286,32,738130,85390,8644218
Tonga,11500,11,10875,614,106529,102,535009,4955990,107952
Trinidad and Tobago,158225,3893,144803,9529,112374,2765,736152,522825,1408027
Tunisia,1041789,28628,,,86444,2375,4607327,382299,12051638
Turkey,15062281,98926,14959906,3449,175043,1150,161541275,1877316,86049076
Turks and Caicos,6097,36,6026,35,153561,907,512050,12896685,39704
UAE,904830,2302,888584,13944,89449,228,160560300,15872603,10115562
UK,22238715,177977,21836316,224422,324378,2596,522526476,7621676,68557945
USA,85004438,1028924,81632147,2343367,254002,3075,1021971326,3053760,334659970
Uganda,164069,3596,100205,60268,3386,74,2612795,53915,48461550
Ukraine,5009301,108497,,,115852,2509,19521252,451475,43238840
Uruguay,902540,7213,892434,2893,258133,2063,6114822,1748884,3496413
Uzbekistan,238940,1637,237161,142,6949,48,1377915,40075,34383122
Vanuatu,8659,14,8287,358,27003,44,24976,77888,320665
Venezuela,523343,5716,516506,1121,18503,202,3359014,118760,28284155
Vietnam,10708887,43075,9402046,1263766,108183,435,85814176,866908,98988845
Yemen,11819,2149,9009,661,380,69,265253,8539,31063406
Zambia,321146,3985,316518,643,16594,206,3467200,179149,19353678
Zimbabwe,250642,5494,243033,2115,16413,360,2305149,150954,15270580
